scene_id,veh_id,num_total_vehs,veh_int_paths,tot_int_paths,goal_rate,off_road,veh_veh_collision,Agent,Train agent,Dataset,Eval mode,Reg. weight
tfrecord-00040-of-01000_355.json,1,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,24,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,32,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,4,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,15,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,17,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,5,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,37,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,41,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,0,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_355.json,35,20,0.0,2.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_123.json,6,5,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_123.json,19,5,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_123.json,7,5,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_123.json,8,5,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_123.json,18,5,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_45.json,9,9,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_45.json,11,9,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_45.json,14,9,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_45.json,17,9,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_45.json,10,9,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_45.json,15,9,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_45.json,12,9,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_45.json,8,9,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00031-of-01000_45.json,3,9,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00001-of-01000_307.json,9,3,1.0,1.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00001-of-01000_307.json,0,3,0.0,1.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00001-of-01000_307.json,1,3,1.0,1.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00047-of-01000_177.json,1,2,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00047-of-01000_177.json,20,2,0.0,0.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_414.json,62,6,0.0,1.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_414.json,23,6,0.0,1.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_414.json,24,6,0.0,1.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_414.json,33,6,1.0,1.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_414.json,26,6,1.0,1.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00040-of-01000_414.json,27,6,0.0,1.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00051-of-01000_60.json,21,9,1.0,4.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00051-of-01000_60.json,3,9,0.0,4.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00051-of-01000_60.json,10,9,0.0,4.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00051-of-01000_60.json,22,9,1.0,4.0,1.0,1.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00051-of-01000_60.json,12,9,0.0,4.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00051-of-01000_60.json,6,9,4.0,4.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00051-of-01000_60.json,19,9,1.0,4.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00051-of-01000_60.json,2,9,1.0,4.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
tfrecord-00051-of-01000_60.json,11,9,0.0,4.0,1.0,0.0,0.0,PPO,Self-play,Train,Self-play,0.0
